18100, 11
15300, 11
6000, 11
7300, 11
6600, 11
6300, 11
7300, 11
7100, 11
5700, 11
6400, 11
5200, 11
5400, 11
5600, 11
8400, 11
7100, 11
6400, 11
5900, 11
9600, 11
7600, 11
6100, 11
7100, 11
12600, 11
8500, 11
6600, 11
4900, 11
7300, 11
5600, 11
7700, 11
4200, 11
4800, 11
4200, 11
4700, 11
5200, 11
3400, 11
4300, 11
4600, 11
3800, 11
3600, 11
4400, 11
4400, 11
5600, 11
4800, 11
4100, 11
5000, 11
5300, 11
5000, 11
5400, 11
5100, 11
4800, 11
4400, 11
4800, 11
11600, 11
4500, 11
4800, 11
3800, 11
4100, 11
4300, 11
4400, 11
5200, 11
4200, 11
5500, 11
6400, 11
5000, 11
6900, 11
5500, 11
6500, 11
4800, 11
4600, 11
5000, 11
5600, 11
6100, 11
5200, 11
6600, 11
5800, 11
4600, 11
5700, 11
5200, 11
4400, 11
4800, 11
5600, 11
4800, 11
4700, 11
3700, 11
5500, 11
6400, 11
5200, 11
6100, 11
6200, 11
7400, 11
5300, 11
6800, 11
5900, 11
4000, 11
13200, 11
6100, 11
4400, 11
5200, 11
5400, 11
5900, 11
4100, 11
